No,PixelX,PixelY,PixelArea,XOffset,YOffset,Circularity
1,2744,875,17484.0,2.306,4.073,0.726
2,1524,1830,10171.5,-2.718,0.14,0.71
3,2873,1363,8187.5,2.837,2.063,0.696
4,1274,1805,8155.5,-3.748,0.243,0.865
5,2527,3091,7717.0,1.413,-5.053,0.912
6,1057,595,7449.0,-4.641,5.226,0.939
7,1974,698,7145.5,-0.865,4.802,0.927
8,3160,2209,7139.0,4.019,-1.421,0.928
9,1773,73,6842.5,-1.693,7.376,0.92
10,777,1841,6817.5,-5.794,0.095,0.918
11,3292,829,6764.5,4.563,4.262,0.887
12,1153,2512,6652.0,-4.246,-2.669,0.91
13,2888,799,6457.0,2.899,4.386,0.918
14,2529,2604,5698.0,1.421,-3.048,0.941
15,3167,3013,5554.5,4.048,-4.732,0.932
16,1227,293,5112.5,-3.941,6.47,0.843
