No,PixelX,PixelY,PixelArea,XOffset,YOffset,Circularity
1,1857,1854,19703.0,-1.31,0.157,0.61
2,2224,1196,9639.0,0.207,2.877,0.799
3,1481,1625,9495.0,-2.865,1.104,0.649
4,3695,1225,8875.0,6.287,2.757,0.912
5,2620,2325,8739.5,1.844,-1.79,0.894
6,2954,1153,7853.5,3.224,3.055,0.915
7,1802,1049,7511.0,-1.538,3.485,0.889
8,1237,2504,7380.0,-3.873,-2.53,0.913
9,2237,817,6845.0,0.26,4.444,0.878
10,775,2579,6226.5,-5.783,-2.84,0.754
11,1432,534,5511.5,-3.067,5.613,0.681
12,468,2401,5506.5,-7.052,-2.104,0.487
13,2386,1574,4884.0,0.876,1.314,0.893
