No,PixelX,PixelY,PixelArea,XOffset,YOffset,Circularity
1,650,2674,6105.5,-6.304,-3.23,0.409
2,3769,1859,6015.0,6.547,0.128,0.891
3,2903,1049,5911.0,2.979,3.465,0.895
4,1849,1637,5758.5,-1.364,1.042,0.91
5,3601,1117,5702.5,5.855,3.185,0.924
6,2464,1115,5622.5,1.17,3.193,0.893
7,1270,1613,5619.0,-3.75,1.141,0.926
8,2634,2367,5473.0,1.871,-1.965,0.791
9,2333,1207,5465.0,0.63,2.814,0.808
10,3473,2595,5462.5,5.328,-2.905,0.94
11,2761,487,5312.0,2.394,5.781,0.883
12,1785,2455,5309.0,-1.628,-2.328,0.782
13,2023,1719,5301.5,-0.647,0.705,0.891
14,1924,2655,5172.0,-1.055,-3.152,0.758
15,2260,1750,4802.5,0.33,0.577,0.834
16,875,1936,4473.5,-5.377,-0.19,0.868
17,1279,1104,3727.0,-3.713,3.239,0.531
18,935,1284,3696.5,-5.13,2.497,0.49
