No,PixelX,PixelY,PixelArea,XOffset,YOffset,Circularity
1,3221,2951,29412.0,4.238,-4.337,0.653
2,2137,1943,12806.5,-0.227,-0.185,0.639
3,1373,348,12257.5,-3.373,6.383,0.868
4,2806,2303,9793.0,2.529,-1.668,0.708
5,2904,2688,9349.5,2.932,-3.253,0.796
6,1176,673,8733.0,-4.184,5.045,0.929
7,1512,1669,8361.0,-2.8,0.943,0.936
8,1593,2072,7806.0,-2.467,-0.717,0.939
9,2749,3197,7209.5,2.294,-5.35,0.912
10,982,2881,7000.0,-4.983,-4.048,0.855
11,2269,1224,6875.5,0.317,2.776,0.904
12,2650,1175,6700.0,1.886,2.978,0.813
13,2962,1474,6561.0,3.171,1.746,0.876
14,1851,1016,6396.5,-1.404,3.632,0.819
15,2401,368,6060.0,0.861,6.301,0.555
16,2360,970,6017.0,0.692,3.822,0.828
17,1127,392,5248.0,-4.386,6.202,0.929
